Index,All Links,Lon-Link,Lat-Link,Both Links,Measurement of What,,Date,Lon-Deg,Lon-Min,Lon-Sec,Lon-E/W,Lat-Deg,Lat-Min,Lat-Sec,Lat-N/S,,longitude,latitude,title,,
64,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/16,,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/16,Ship,,September 25,4,28,,W,50,14,,,,-4.466666667,50.23333333,09/25/63 Ship,,
65,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/18,,,,Ship,,September 26,,,,,,,,,,,,09/26/63 Ship,,
66,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/18,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/18,,Ship,,September 27,,,,,46,25,,,,,46.41666667,09/27/63 Ship,,
67,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/20,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/20,,Ship,,September 28,,,,,45,2,,,,,45.03333333,09/28/63 Ship,,
68,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/20,,,,Ship,,September 29,,,,,,,,,,,,09/29/63 Ship,,
69,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/22,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/22,,Ship,,September 30,,,,,41,21,,,,,41.35,09/30/63 Ship,,
70,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/22,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/22,,Ship,,October 1,,,,,41,3,,,,,41.05,10/01/63 Ship,,
71,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/24,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/24,,Ship,,October 2,,,,,39,30,,,,,39.5,10/02/63 Ship,,
72,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/24,,,,Ship,,October 3,,,,,,,,,,,,10/03/63 Ship,,
73,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/26,,,,Ship,,October 4,,,,,,,,,,,,10/04/63 Ship,,
74,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/26,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/26,,Ship,,October 5,,,,,34,2,,,,,34.03333333,10/05/63 Ship,,
75,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/28,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/28,,Ship,,October 6,,,,,32,40,,,,,32.66666667,10/06/63 Ship,,
76,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/28,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/28,,Ship,,October 7,,,,,31,9,38,,,,31.16055556,10/07/63 Ship,,
77,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/44,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/44,,Ship,,October 8,,,,,30,13,,N,,,30.21666667,10/08/63 Ship,,
78,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/44,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/44,,Ship,,October 9,,,,,30,1,,,,,30.01666667,10/09/63 Ship,,
79,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/46,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/46,,Ship,,October 10,,,,,29,44,,N,,,29.73333333,10/10/63 Ship,,
80,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/46,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/46,,Ship,,October 11,,,,,29,55,,N,,,29.91666667,10/11/63 Ship,,
81,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/48,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/48,,Ship,,October 12,,,,,28,58,,,,,28.96666667,10/12/63 Ship,,
82,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/48,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/48,,Ship,,October 13,,,,,27,44,,,,,27.73333333,10/13/63 Ship,,
83,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/50,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/50,,Ship,,October 14,,,,,26,58,,,,,26.96666667,10/14/63 Ship,,
84,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/50,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/50,,,,October 15,,,,,25,5,,,,,25.08333333,10/15/63,,
85,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/52,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/52,,,,October 16,,,,,23,48,,,,,23.8,10/16/63,,
86,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/52,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/52,,,,October 17,,,,,22,53,,,,,22.88333333,10/17/63,,
87,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/54,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/54,,,,October 18,,,,,22,51,,N,,,22.85,10/18/63,,
88,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/54,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/54,,,,October 19,,,,,22,24,,N,,,22.4,10/19/63,,
89,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/56,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/56,,,,October 20,,,,,22,19,,,,,22.31666667,10/20/63,,
90,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/56,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/56,,,,October 21,,,,,21,43,,,,,21.71666667,10/21/63,,
91,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/58,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/58,,,,October 22,,,,,20,34,,N,,,20.56666667,10/22/63,,
92,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/58,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/58,,,,October 23,,,,,19,17,,N,,,19.28333333,10/23/63,,
93,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/60,,,,,,October 24,,,,,,,,,,,,10/24/63,,
94,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/60,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/60,,,,October 25,,,,,17,32,,N,,,17.53333333,10/25/63,,
95,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/62,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/62,,,,October 26,,,,,17,2,,N,,,17.03333333,10/26/63,,
96,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/62,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/62,,,,October 27,,,,,16,24,,,,,16.4,10/27/63,,
97,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/64,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/64,,,,October 28,,,,,15,56,,N,,,15.93333333,10/28/63,,
98,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/64,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/64,,,,October 29,,,,,15,21,,N,,,15.35,10/29/63,,
99,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/66,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/66,,,,October 30,,,,,14,53,,N,,,14.88333333,10/30/63,,
100,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/67,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/67,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/66,,,,October 31,44,56,,,14,35,,,,-44.93333333,14.58333333,10/31/63,,
101,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/68,,https://cudl.lib.cam.ac.uk/view/MS-RGO-00004-00321/68,,,,November 1,,,,,14,17,,,,,14.28333333,11/01/63,,
